Date,Time,CH01,CH02,CH03,CH04,CH05,CH06
4/9/2026,18:03:59,0,0,0,0,0,1
4/9/2026,18:04:04,0,0,0,0,0,1
4/9/2026,18:04:08,0,0,0,0,0,0
4/9/2026,18:04:09,0,0,0,0,0,1
4/9/2026,18:04:14,0,0,0,0,0,1
4/9/2026,18:04:19,0,0,0,0,0,1
4/9/2026,18:04:24,0,0,0,0,0,1
4/9/2026,18:04:29,0,0,0,0,0,1
4/9/2026,18:04:34,0,0,0,0,0,1
4/9/2026,18:04:39,0,0,0,0,0,1
4/9/2026,18:04:44,0,0,0,0,0,1
4/9/2026,18:04:49,0,0,0,0,0,1
4/9/2026,18:04:54,0,0,0,0,0,1
4/9/2026,18:04:59,0,0,0,0,0,1
4/9/2026,18:05:04,0,0,0,0,0,1
4/9/2026,18:05:08,0,0,0,0,0,0
4/9/2026,18:05:09,0,0,0,0,0,1
4/9/2026,18:05:14,0,0,0,0,0,1
4/9/2026,18:05:19,0,0,0,0,0,1
4/9/2026,18:05:24,0,0,0,0,0,1
4/9/2026,18:05:29,0,0,0,0,0,1
4/9/2026,18:05:34,0,0,0,0,0,1
4/9/2026,18:05:39,0,0,0,0,0,1
4/9/2026,18:05:44,0,0,0,0,0,1
4/9/2026,18:05:49,0,0,0,0,0,1
4/9/2026,18:05:54,0,0,0,0,0,1
4/9/2026,18:05:59,0,0,0,0,0,1
4/9/2026,18:06:04,0,0,0,0,0,1
4/9/2026,18:06:08,0,0,0,0,0,0
4/9/2026,18:06:09,0,0,0,0,0,1
4/9/2026,18:06:14,0,0,0,0,0,1
4/9/2026,18:06:19,0,0,0,0,0,1
4/9/2026,18:06:24,0,0,0,0,0,1
4/9/2026,18:06:29,0,0,0,0,0,1
4/9/2026,18:06:34,0,0,0,0,0,1
4/9/2026,18:06:39,0,0,0,0,0,1
4/9/2026,18:06:44,0,0,0,0,0,1
4/9/2026,18:06:49,0,0,0,0,0,1
4/9/2026,18:06:54,0,0,0,0,0,1
4/9/2026,18:06:59,0,0,0,0,0,1
4/9/2026,18:07:04,0,0,0,0,0,1
4/9/2026,18:07:08,0,0,0,0,0,0
4/9/2026,18:07:09,0,0,0,0,0,1
4/9/2026,18:07:14,0,0,0,0,0,1
4/9/2026,18:07:19,0,0,0,0,0,1
4/9/2026,18:07:24,0,0,0,0,0,1
4/9/2026,18:07:29,0,0,0,0,0,1
4/9/2026,18:07:34,0,0,0,0,0,1
4/9/2026,18:07:39,0,0,0,0,0,1
4/9/2026,18:07:44,0,0,0,0,0,1
4/9/2026,18:07:49,0,0,0,0,0,1
4/9/2026,18:07:54,0,0,0,0,0,1
4/9/2026,18:07:59,0,0,0,0,0,1
4/9/2026,18:08:04,0,0,0,0,0,1
4/9/2026,18:08:08,0,0,0,0,0,0
4/9/2026,18:08:09,0,0,0,0,0,1
4/9/2026,18:08:14,0,0,0,0,0,1
4/9/2026,18:08:19,0,0,0,0,0,1
4/9/2026,18:08:24,0,0,0,0,0,1
4/9/2026,18:08:29,0,0,0,0,0,1
4/9/2026,18:08:34,0,0,0,0,0,1
4/9/2026,18:08:39,0,0,0,0,0,1
4/9/2026,18:08:44,0,0,0,0,0,1
4/9/2026,18:08:49,0,0,0,0,0,1
4/9/2026,18:08:54,0,0,0,0,0,1
4/9/2026,18:08:59,0,0,0,0,0,1
4/9/2026,18:09:04,0,0,0,0,0,1
4/9/2026,18:09:08,0,0,0,0,0,0
4/9/2026,18:09:09,0,0,0,0,0,1
4/9/2026,18:09:14,0,0,0,0,0,1
4/9/2026,18:09:19,0,0,0,0,0,1
4/9/2026,18:09:24,0,0,0,0,0,1
4/9/2026,18:09:29,0,0,0,0,0,1
4/9/2026,18:09:34,0,0,0,0,0,1
4/9/2026,18:09:47,0,0,0,0,0,1
4/9/2026,18:09:52,0,0,0,0,0,1
4/9/2026,18:09:57,0,0,0,0,0,1
4/9/2026,18:10:02,0,0,0,0,0,1
4/9/2026,18:10:07,0,0,0,0,0,1
4/9/2026,18:10:08,0,0,0,0,0,0
4/9/2026,18:10:12,0,0,0,0,0,1
4/9/2026,18:10:17,0,0,0,0,0,1
4/9/2026,18:10:22,0,0,0,0,0,1
4/9/2026,18:10:27,0,0,0,0,0,1
4/9/2026,18:10:32,0,0,0,0,0,1
4/9/2026,18:10:37,0,0,0,0,0,1
4/9/2026,18:10:42,0,0,0,0,0,1
4/9/2026,18:10:47,0,0,0,0,0,1
4/9/2026,18:10:52,0,0,0,0,0,1
4/9/2026,18:10:57,0,0,0,0,0,1
4/9/2026,18:11:02,0,0,0,0,0,1
4/9/2026,18:11:07,0,0,0,0,0,1
4/9/2026,18:11:08,0,0,0,0,0,0
4/9/2026,18:11:12,0,0,0,0,0,1
4/9/2026,18:11:17,0,0,0,0,0,1
4/9/2026,18:11:22,0,0,0,0,0,1
4/9/2026,18:11:27,0,0,0,0,0,1
4/9/2026,18:11:32,0,0,0,0,0,1
4/9/2026,18:11:37,0,0,0,0,0,1
4/9/2026,18:11:42,0,0,0,0,0,1
4/9/2026,18:11:47,0,0,0,0,0,1
4/9/2026,18:11:52,0,0,0,0,0,1
4/9/2026,18:11:57,0,0,0,0,0,1
4/9/2026,18:12:08,0,0,0,0,0,0
4/9/2026,18:12:10,0,0,0,0,0,1
4/9/2026,18:12:15,0,0,0,0,0,1
4/9/2026,18:12:20,0,0,0,0,0,1
4/9/2026,18:12:25,0,0,0,0,0,1
4/9/2026,18:12:30,0,0,0,0,0,1
4/9/2026,18:12:43,0,0,0,0,0,1
4/9/2026,18:12:48,0,0,0,0,0,1
4/9/2026,18:12:53,0,0,0,0,0,1
4/9/2026,18:12:58,0,0,0,0,0,1
4/9/2026,18:13:03,0,0,0,0,0,1
4/9/2026,18:13:08,0,0,0,0,0,1
4/9/2026,18:13:08,0,0,0,0,0,0
4/9/2026,18:13:13,0,0,0,0,0,1
4/9/2026,18:13:18,0,0,0,0,0,1
4/9/2026,18:13:23,0,0,0,0,0,1
4/9/2026,18:13:28,0,0,0,0,0,1
4/9/2026,18:13:33,0,0,0,0,0,1
4/9/2026,18:13:38,0,0,0,0,0,1
4/9/2026,18:13:43,0,0,0,0,0,1
4/9/2026,18:13:48,0,0,0,0,0,1
4/9/2026,18:13:53,0,0,0,0,0,1
4/9/2026,18:14:06,0,0,0,0,0,1
4/9/2026,18:14:08,0,0,0,0,0,0
4/9/2026,18:14:11,0,0,0,0,0,1
4/9/2026,18:14:16,0,0,0,0,0,1
4/9/2026,18:14:21,0,0,0,0,0,1
4/9/2026,18:14:26,0,0,0,0,0,1
4/9/2026,18:14:31,0,0,0,0,0,1
4/9/2026,18:14:36,0,0,0,0,0,1
4/9/2026,18:14:41,0,0,0,0,0,1
4/9/2026,18:14:46,0,0,0,0,0,1
4/9/2026,18:14:51,0,0,0,0,0,1
4/9/2026,18:14:56,0,0,0,0,0,1
4/9/2026,18:15:01,0,0,0,0,0,1
4/9/2026,18:15:06,0,0,0,0,0,1
4/9/2026,18:15:08,0,0,0,0,0,0
4/9/2026,18:15:11,0,0,0,0,0,1
4/9/2026,18:15:16,0,0,0,0,0,1
4/9/2026,18:15:21,0,0,0,0,0,1
4/9/2026,18:15:26,0,0,0,0,0,1
4/9/2026,18:15:31,0,0,0,0,0,1
4/9/2026,18:15:36,0,0,0,0,0,1
4/9/2026,18:15:41,0,0,0,0,0,1
4/9/2026,18:15:46,0,0,0,0,0,1
4/9/2026,18:15:51,0,0,0,0,0,1
4/9/2026,18:15:56,0,0,0,0,0,1
4/9/2026,18:16:01,0,0,0,0,0,1
4/9/2026,18:16:06,0,0,0,0,0,1
4/9/2026,18:16:08,0,0,0,0,0,0
4/9/2026,18:16:11,0,0,0,0,0,1
4/9/2026,18:16:16,0,0,0,0,0,1
4/9/2026,18:16:21,0,0,0,0,0,1
4/9/2026,18:16:26,0,0,0,0,0,1
4/9/2026,18:16:31,0,0,0,0,0,1
4/9/2026,18:16:36,0,0,0,0,0,1
4/9/2026,18:16:41,0,0,0,0,0,1
4/9/2026,18:16:46,0,0,0,0,0,1
4/9/2026,18:16:51,0,0,0,0,0,1
4/9/2026,18:16:56,0,0,0,0,0,1
4/9/2026,18:17:01,0,0,0,0,0,1
4/9/2026,18:17:06,0,0,0,0,0,1
4/9/2026,18:17:08,0,0,0,0,0,0
4/9/2026,18:17:11,0,0,0,0,0,1
4/9/2026,18:17:16,0,0,0,0,0,1
4/9/2026,18:17:21,0,0,0,0,0,1
4/9/2026,18:17:26,0,0,0,0,0,1
4/9/2026,18:17:31,0,0,0,0,0,1
4/9/2026,18:17:36,0,0,0,0,0,1
4/9/2026,18:17:41,0,0,0,0,0,1
4/9/2026,18:17:46,0,0,0,0,0,1
4/9/2026,18:17:51,0,0,0,0,0,1
4/9/2026,18:17:56,0,0,0,0,0,1
4/9/2026,18:18:01,0,0,0,0,0,1
4/9/2026,18:18:06,0,0,0,0,0,1
4/9/2026,18:18:08,0,0,0,0,0,0
4/9/2026,18:18:11,0,0,0,0,0,1
4/9/2026,18:18:16,0,0,0,0,0,1
4/9/2026,18:18:21,0,0,0,0,0,1
4/9/2026,18:18:26,0,0,0,0,0,1
4/9/2026,18:18:31,0,0,0,0,0,1
4/9/2026,18:18:36,0,0,0,0,0,1
4/9/2026,18:18:41,0,0,0,0,0,1
4/9/2026,18:18:46,0,0,0,0,0,1
4/9/2026,18:18:51,0,0,0,0,0,1
4/9/2026,18:18:56,0,0,0,0,0,1
4/9/2026,18:19:01,0,0,0,0,0,1
4/9/2026,18:19:06,0,0,0,0,0,1
4/9/2026,18:19:08,0,0,0,0,0,0
4/9/2026,18:19:11,0,0,0,0,0,1
4/9/2026,18:19:16,0,0,0,0,0,1
4/9/2026,18:19:21,0,0,0,0,0,1
4/9/2026,18:19:26,0,0,0,0,0,1
4/9/2026,18:19:31,0,0,0,0,0,1
4/9/2026,18:19:36,0,0,0,0,0,1
4/9/2026,18:19:41,0,0,0,0,0,1
4/9/2026,18:19:46,0,0,0,0,0,1
4/9/2026,18:19:51,0,0,0,0,0,1
4/9/2026,18:19:56,0,0,0,0,0,1
4/9/2026,18:20:01,0,0,0,0,0,1
4/9/2026,18:20:06,0,0,0,0,0,1
4/9/2026,18:20:08,0,0,0,0,0,0
4/9/2026,18:20:11,0,0,0,0,0,1
4/9/2026,18:20:16,0,0,0,0,0,1
4/9/2026,18:20:21,0,0,0,0,0,1
4/9/2026,18:20:26,0,0,0,0,0,1
4/9/2026,18:20:31,0,0,0,0,0,1
4/9/2026,18:20:36,0,0,0,0,0,1
4/9/2026,18:20:41,0,0,0,0,0,1
4/9/2026,18:20:46,0,0,0,0,0,1
